filename,label_hash,defect_pattern,confidence,reasoning,alternative,encord_written,model,error
805199.jpg,e28f75fa-9507-46d1-8261-131dbcbf92ac,none,0.95,"The wafer shows a very high percentage of green dies with only a few isolated, scattered red pixels, indicating a healthy wafer with negligible defect density.",random,True,models/gemini-3.1-flash-lite,
808187.jpg,293a010c-aa76-4bcc-8e8c-cf0010c7ba05,none,0.95,"The wafer map is predominantly composed of green pixels representing functional dies, with only a negligible and scattered number of red pixels that do not form any distinct structural pattern.",random,True,models/gemini-3.1-flash-lite,
806048.jpg,3032e72e-36b0-404c-a26f-72a6ce7dcf77,none,0.95,"The wafer shows a very high yield with only a negligible amount of scattered red pixels, which does not constitute a discernible spatial defect pattern.",random,True,models/gemini-3.1-flash-lite,
765844.jpg,31e44d41-1870-4779-bb46-072ea69ad04d,none,0.95,"The wafer shows a very high density of green dies with only a negligible number of scattered red pixels, characteristic of a clean wafer.",random,True,models/gemini-3.1-flash-lite,
776169.jpg,c507946d-6bbe-4c31-a456-d58aeb15f08d,none,0.95,"The wafer shows a very high yield with only a negligible amount of randomly scattered failed dies, which does not constitute a specific spatial signature.",random,True,models/gemini-3.1-flash-lite,
774573.jpg,008e9c7f-db2d-42cd-84e1-303a92e935b1,none,0.95,"The wafer map shows a very high density of green (pass) dies with extremely sparse, randomly distributed red (fail) pixels, indicating no significant spatial defect pattern.",random,True,models/gemini-3.1-flash-lite,
807462.jpg,14f3f366-b713-4fb9-908c-e8d4e12d3c0f,none,0.95,"The wafer map is predominantly composed of green pixels representing functional dies, with only a negligible number of scattered red pixels that do not form any discernible spatial pattern.",random,True,models/gemini-3.1-flash-lite,
805684.jpg,6d8e62e9-2ea9-4874-b693-bb06f2766e03,none,0.95,"The wafer shows a very high density of passing (green) dies with only a few isolated, randomly scattered defective (red) pixels, indicating a clean wafer with no significant spatial defect pattern.",random,True,models/gemini-3.1-flash-lite,
808399.jpg,f6404d89-2e1e-412d-8e89-e4540a0db88f,none,0.95,"The wafer shows very few isolated red pixels scattered across the die, which does not constitute a distinct spatial defect pattern.",random,True,models/gemini-3.1-flash-lite,
807196.jpg,3bc5a008-f2b1-41dc-85cf-507d5d56a587,none,0.95,"The wafer shows a very high yield of good dies with only a minimal, scattered number of red defective pixels, fitting the criteria for a clean wafer.",random,True,models/gemini-3.1-flash-lite,
740416.jpg,5cd90d45-fb2f-4aff-8f86-691874eed7ee,none,0.95,"The wafer map is predominantly composed of green pixels representing functional dies, with only a very sparse and scattered distribution of red pixels, indicating a clean wafer with no significant defect pattern.",random,True,models/gemini-3.1-flash-lite,
764324.jpg,c67a740b-08e2-4803-a4ba-c87677731bf1,none,0.95,"The wafer map contains very few failed dies, which are sparsely and randomly distributed across the wafer, indicating no significant systematic spatial defect pattern.",random,True,models/gemini-3.1-flash-lite,
764888.jpg,75c36e92-441d-4376-8c36-c482c311c89d,none,0.95,"The wafer map consists almost entirely of green pixels with only a negligible, sparse distribution of red pixels, indicating a clean wafer with no identifiable spatial defect pattern.",random,True,models/gemini-3.1-flash-lite,
809082.jpg,d21e9a2e-1c88-4c49-949b-c69875985f7a,none,0.95,"The wafer map shows a very high density of green (passing) dies with only a few isolated or randomly scattered red pixels, indicating no significant systematic defect pattern.",random,True,models/gemini-3.1-flash-lite,
807352.jpg,a87ec262-3818-4eec-a28a-bdc7573b25ff,none,0.95,"The wafer shows a high density of bright green pixels representing good dies, with an extremely sparse and scattered distribution of individual red pixels, characteristic of a clean wafer with negligible random noise.",random,True,models/gemini-3.1-flash-lite,
762524.jpg,3769da27-2680-40ef-bfb5-51fdbf980630,none,0.95,"The wafer shows a very low density of randomly scattered failed dies, which is consistent with a clean process rather than a systematic spatial signature.",random,True,models/gemini-3.1-flash-lite,
760560.jpg,cce7b753-9a32-4f9c-9c8f-a88dc47c8207,none,0.95,"The wafer map is predominantly composed of green (passing) dies with only a negligible amount of scattered red (failing) pixels, indicating a clean wafer with no identifiable spatial defect pattern.",random,True,models/gemini-3.1-flash-lite,
764434.jpg,5b0f31da-e12d-4296-b0b4-f64dbb1d2b34,none,0.95,"The wafer shows a very low density of randomly scattered failed dies, which is consistent with a healthy process and no systemic spatial defect signature.",random,True,models/gemini-3.1-flash-lite,
